StudentID,Year,GradeLevel,Semester,Term,Subject,SubjectType,ClassName,ItemType,ItemNumber,PossiblePoints,Score,DueDate,SubmittedDate,PretestScore,HomeworkCompletion,Participation,AssignmentAvg,TestScore,Attendance,StudyHours,ParentalSupport,SleepHours,ReadingHours,BehaviorScore,WeightedGPA_Elementary,WeightedGPA_HighSchool
STU0011,2024,5,Fall,Fall,Writing,Core,Creative Writing,Pretest,1,100,85,2025-09-17,2025-09-17,46,89,6,85,74,76,7,1,5,0,2,2.5,3.58
STU0011,2024,5,Fall,Fall,Writing,Core,Creative Writing,Assignment,2,50,69,2025-09-19,2025-09-19,74,84,1,59,97,76,7,1,5,0,2,2.5,3.58
STU0011,2024,5,Fall,Fall,Reading,Core,English Lit,Test,3,100,74,2025-09-21,2025-09-21,41,92,2,66,81,76,7,1,5,0,2,2.5,3.58
STU0012,2023,6,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,57,2025-09-17,2025-09-17,44,98,7,58,80,72,1,4,7,5,7,3.8,3.81
STU0012,2023,6,Spring,Spring,Reading,Core,English Lit,Assignment,2,50,73,2025-09-19,2025-09-19,52,89,5,57,67,72,1,4,7,5,7,3.8,3.81
STU0012,2023,6,Spring,Spring,Science,Core,Earth Science,Test,3,100,45,2025-09-21,2025-09-21,92,82,3,92,54,72,1,4,7,5,7,3.8,3.81
STU0013,2025,6,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,42,2025-09-17,2025-09-17,41,95,2,49,51,77,3,2,5,1,9,3.9,4.39
STU0013,2025,6,Fall,Fall,Math,Core,Algebra I,Assignment,2,50,84,2025-09-19,2025-09-19,56,71,9,57,65,77,3,2,5,1,9,3.9,4.39
STU0013,2025,6,Fall,Fall,Writing,Core,Creative Writing,Test,3,100,43,2025-09-21,2025-09-21,75,87,8,75,87,77,3,2,5,1,9,3.9,4.39
STU0014,2024,4,Fall,Fall,Writing,Core,Creative Writing,Pretest,1,100,42,2025-09-17,2025-09-17,51,96,1,75,95,77,4,3,8,3,9,3.01,4.33
STU0014,2024,4,Fall,Fall,Science,Core,Earth Science,Assignment,2,50,41,2025-09-19,2025-09-19,63,63,8,54,79,77,4,3,8,3,9,3.01,4.33
STU0014,2024,4,Fall,Fall,Reading,Core,English Lit,Test,3,100,74,2025-09-21,2025-09-21,83,64,1,81,81,77,4,3,8,3,9,3.01,4.33
STU0015,2023,5,Spring,Spring,Math,Core,Algebra I,Pretest,1,100,91,2025-09-17,2025-09-17,72,69,4,82,45,99,2,4,6,3,8,2.94,3.73
STU0015,2023,5,Spring,Spring,Writing,Core,Creative Writing,Assignment,2,50,67,2025-09-19,2025-09-19,64,60,5,79,93,99,2,4,6,3,8,2.94,3.73
STU0015,2023,5,Spring,Spring,Science,Core,Earth Science,Test,3,100,97,2025-09-21,2025-09-21,88,62,4,61,76,99,2,4,6,3,8,2.94,3.73
STU0016,2023,4,Spring,Spring,Science,Core,Earth Science,Pretest,1,100,80,2025-09-17,2025-09-17,51,72,6,92,67,81,4,5,5,2,6,3.68,3.7
STU0016,2023,4,Spring,Spring,Writing,Core,Creative Writing,Assignment,2,50,69,2025-09-19,2025-09-19,91,95,6,90,53,81,4,5,5,2,6,3.68,3.7
STU0016,2023,4,Spring,Spring,Writing,Core,Creative Writing,Test,3,100,77,2025-09-21,2025-09-21,63,71,9,59,80,81,4,5,5,2,6,3.68,3.7
STU0017,2025,6,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,86,2025-09-17,2025-09-17,59,85,8,56,71,76,3,1,9,1,1,3.32,3.69
STU0017,2025,6,Spring,Spring,Writing,Core,Creative Writing,Assignment,2,50,85,2025-09-19,2025-09-19,57,58,9,96,77,76,3,1,9,1,1,3.32,3.69
STU0017,2025,6,Spring,Spring,History,Elective,World History,Test,3,100,96,2025-09-21,2025-09-21,70,72,6,80,47,76,3,1,9,1,1,3.32,3.69
STU0018,2024,4,Spring,Spring,Writing,Core,Creative Writing,Pretest,1,100,57,2025-09-17,2025-09-17,91,58,7,51,91,97,7,4,6,5,4,3.18,3.21
STU0018,2024,4,Spring,Spring,Writing,Core,Creative Writing,Assignment,2,50,45,2025-09-19,2025-09-19,52,57,9,48,78,97,7,4,6,5,4,3.18,3.21
STU0018,2024,4,Spring,Spring,Writing,Core,Creative Writing,Test,3,100,91,2025-09-21,2025-09-21,78,53,8,53,85,97,7,4,6,5,4,3.18,3.21
STU0019,2025,5,Fall,Fall,Writing,Core,Creative Writing,Pretest,1,100,73,2025-09-17,2025-09-17,46,72,8,93,84,99,7,1,8,0,1,2.78,3.57
STU0019,2025,5,Fall,Fall,Math,Core,Algebra I,Assignment,2,50,49,2025-09-19,2025-09-19,50,81,3,67,62,99,7,1,8,0,1,2.78,3.57
STU0019,2025,5,Fall,Fall,Reading,Core,English Lit,Test,3,100,54,2025-09-21,2025-09-21,94,75,9,81,75,99,7,1,8,0,1,2.78,3.57
STU0020,2024,4,Spring,Spring,Science,Core,Earth Science,Pretest,1,100,72,2025-09-17,2025-09-17,93,69,2,89,56,94,1,2,5,4,6,2.67,3.25
STU0020,2024,4,Spring,Spring,Science,Core,Earth Science,Assignment,2,50,47,2025-09-19,2025-09-19,83,77,10,48,85,94,1,2,5,4,6,2.67,3.25
STU0020,2024,4,Spring,Spring,Writing,Core,Creative Writing,Test,3,100,57,2025-09-21,2025-09-21,47,51,7,70,67,94,1,2,5,4,6,2.67,3.25
STU0021,2025,6,Spring,Spring,Writing,Core,Creative Writing,Pretest,1,100,68,2025-09-17,2025-09-17,81,81,7,58,40,93,6,5,5,1,10,3.4,3.53
STU0021,2025,6,Spring,Spring,Writing,Core,Creative Writing,Assignment,2,50,69,2025-09-19,2025-09-19,85,85,8,99,46,93,6,5,5,1,10,3.4,3.53
STU0021,2025,6,Spring,Spring,Writing,Core,Creative Writing,Test,3,100,41,2025-09-21,2025-09-21,77,82,10,89,43,93,6,5,5,1,10,3.4,3.53
STU0022,2025,6,Fall,Fall,Science,Core,Earth Science,Pretest,1,100,67,2025-09-17,2025-09-17,80,88,6,45,66,76,7,4,5,3,7,2.87,3.63
STU0022,2025,6,Fall,Fall,Science,Core,Earth Science,Assignment,2,50,82,2025-09-19,2025-09-19,69,80,5,61,81,76,7,4,5,3,7,2.87,3.63
STU0022,2025,6,Fall,Fall,Science,Core,Earth Science,Test,3,100,54,2025-09-21,2025-09-21,80,76,10,88,86,76,7,4,5,3,7,2.87,3.63
STU0023,2023,6,Fall,Fall,History,Elective,World History,Pretest,1,100,82,2025-09-17,2025-09-17,79,64,6,77,42,84,7,1,9,0,9,3.26,4.45
STU0023,2023,6,Fall,Fall,History,Elective,World History,Assignment,2,50,70,2025-09-19,2025-09-19,79,100,9,86,82,84,7,1,9,0,9,3.26,4.45
STU0023,2023,6,Fall,Fall,Science,Core,Earth Science,Test,3,100,65,2025-09-21,2025-09-21,64,58,8,56,77,84,7,1,9,0,9,3.26,4.45
STU0024,2024,6,Fall,Fall,Science,Core,Earth Science,Pretest,1,100,94,2025-09-17,2025-09-17,48,77,9,69,95,87,6,3,5,0,4,2.51,3.83
STU0024,2024,6,Fall,Fall,Reading,Core,English Lit,Assignment,2,50,43,2025-09-19,2025-09-19,73,91,10,90,79,87,6,3,5,0,4,2.51,3.83
STU0024,2024,6,Fall,Fall,Math,Core,Algebra I,Test,3,100,79,2025-09-21,2025-09-21,60,83,3,91,41,87,6,3,5,0,4,2.51,3.83
STU0025,2025,5,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,80,2025-09-17,2025-09-17,45,88,6,80,55,97,3,4,9,5,10,3.43,3.42
STU0025,2025,5,Fall,Fall,History,Elective,World History,Assignment,2,50,89,2025-09-19,2025-09-19,58,70,3,44,66,97,3,4,9,5,10,3.43,3.42
STU0025,2025,5,Fall,Fall,Math,Core,Algebra I,Test,3,100,79,2025-09-21,2025-09-21,73,82,8,81,84,97,3,4,9,5,10,3.43,3.42
STU0026,2025,6,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,67,2025-09-17,2025-09-17,92,80,7,45,76,71,4,5,6,5,10,3.19,4.07
STU0026,2025,6,Fall,Fall,Math,Core,Algebra I,Assignment,2,50,79,2025-09-19,2025-09-19,82,59,8,72,73,71,4,5,6,5,10,3.19,4.07
STU0026,2025,6,Fall,Fall,History,Elective,World History,Test,3,100,92,2025-09-21,2025-09-21,66,63,3,68,94,71,4,5,6,5,10,3.19,4.07
STU0027,2023,4,Spring,Spring,Math,Core,Algebra I,Pretest,1,100,70,2025-09-17,2025-09-17,51,86,4,75,99,74,2,5,7,0,2,2.72,3.85
STU0027,2023,4,Spring,Spring,Writing,Core,Creative Writing,Assignment,2,50,45,2025-09-19,2025-09-19,53,63,3,64,54,74,2,5,7,0,2,2.72,3.85
STU0027,2023,4,Spring,Spring,Science,Core,Earth Science,Test,3,100,55,2025-09-21,2025-09-21,75,70,5,70,59,74,2,5,7,0,2,2.72,3.85
STU0028,2025,5,Spring,Spring,Math,Core,Algebra I,Pretest,1,100,68,2025-09-17,2025-09-17,69,52,6,88,94,78,3,1,6,5,7,3.27,3.87
STU0028,2025,5,Spring,Spring,Science,Core,Earth Science,Assignment,2,50,55,2025-09-19,2025-09-19,51,68,6,73,80,78,3,1,6,5,7,3.27,3.87
STU0028,2025,5,Spring,Spring,Science,Core,Earth Science,Test,3,100,77,2025-09-21,2025-09-21,71,74,2,53,44,78,3,1,6,5,7,3.27,3.87
STU0029,2023,6,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,70,2025-09-17,2025-09-17,49,64,2,71,60,94,1,3,5,5,4,2.94,3.38
STU0029,2023,6,Fall,Fall,Science,Core,Earth Science,Assignment,2,50,97,2025-09-19,2025-09-19,44,79,5,78,76,94,1,3,5,5,4,2.94,3.38
STU0029,2023,6,Fall,Fall,Writing,Core,Creative Writing,Test,3,100,78,2025-09-21,2025-09-21,76,99,10,58,84,94,1,3,5,5,4,2.94,3.38
STU0030,2023,4,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,57,2025-09-17,2025-09-17,72,92,7,97,98,97,1,2,8,0,10,3.03,4.01
STU0030,2023,4,Spring,Spring,Math,Core,Algebra I,Assignment,2,50,84,2025-09-19,2025-09-19,46,96,4,54,43,97,1,2,8,0,10,3.03,4.01
STU0030,2023,4,Spring,Spring,Science,Core,Earth Science,Test,3,100,94,2025-09-21,2025-09-21,69,83,2,49,65,97,1,2,8,0,10,3.03,4.01
STU0031,2024,4,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,59,2025-09-17,2025-09-17,62,65,6,53,52,89,3,5,9,1,10,3.43,3.13
STU0031,2024,4,Fall,Fall,Reading,Core,English Lit,Assignment,2,50,77,2025-09-19,2025-09-19,46,81,2,40,70,89,3,5,9,1,10,3.43,3.13
STU0031,2024,4,Fall,Fall,Science,Core,Earth Science,Test,3,100,92,2025-09-21,2025-09-21,40,87,3,45,79,89,3,5,9,1,10,3.43,3.13
STU0032,2024,4,Spring,Spring,Writing,Core,Creative Writing,Pretest,1,100,44,2025-09-17,2025-09-17,89,68,8,97,86,94,7,1,5,5,1,2.95,3.43
STU0032,2024,4,Spring,Spring,Math,Core,Algebra I,Assignment,2,50,98,2025-09-19,2025-09-19,70,62,1,61,84,94,7,1,5,5,1,2.95,3.43
STU0032,2024,4,Spring,Spring,History,Elective,World History,Test,3,100,45,2025-09-21,2025-09-21,67,91,2,87,50,94,7,1,5,5,1,2.95,3.43
STU0033,2023,5,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,58,2025-09-17,2025-09-17,90,58,3,45,60,76,3,3,8,4,8,2.64,3.25
STU0033,2023,5,Spring,Spring,Reading,Core,English Lit,Assignment,2,50,59,2025-09-19,2025-09-19,49,76,3,63,82,76,3,3,8,4,8,2.64,3.25
STU0033,2023,5,Spring,Spring,Science,Core,Earth Science,Test,3,100,62,2025-09-21,2025-09-21,47,96,1,50,58,76,3,3,8,4,8,2.64,3.25
STU0034,2024,6,Fall,Fall,Math,Core,Algebra I,Pretest,1,100,71,2025-09-17,2025-09-17,63,95,2,61,85,91,3,3,7,2,9,3.66,4.14
STU0034,2024,6,Fall,Fall,History,Elective,World History,Assignment,2,50,50,2025-09-19,2025-09-19,45,76,4,47,68,91,3,3,7,2,9,3.66,4.14
STU0034,2024,6,Fall,Fall,History,Elective,World History,Test,3,100,76,2025-09-21,2025-09-21,69,60,10,65,72,91,3,3,7,2,9,3.66,4.14
STU0035,2024,6,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,93,2025-09-17,2025-09-17,60,93,2,65,63,70,1,5,6,2,10,3.68,4.42
STU0035,2024,6,Spring,Spring,History,Elective,World History,Assignment,2,50,47,2025-09-19,2025-09-19,63,50,2,75,86,70,1,5,6,2,10,3.68,4.42
STU0035,2024,6,Spring,Spring,Science,Core,Earth Science,Test,3,100,56,2025-09-21,2025-09-21,47,100,10,65,73,70,1,5,6,2,10,3.68,4.42
STU0036,2024,4,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,44,2025-09-17,2025-09-17,91,57,5,45,52,79,1,4,5,1,6,3.93,4.05
STU0036,2024,4,Spring,Spring,History,Elective,World History,Assignment,2,50,52,2025-09-19,2025-09-19,70,91,4,73,96,79,1,4,5,1,6,3.93,4.05
STU0036,2024,4,Spring,Spring,Reading,Core,English Lit,Test,3,100,95,2025-09-21,2025-09-21,65,69,5,78,92,79,1,4,5,1,6,3.93,4.05
STU0037,2025,4,Spring,Spring,History,Elective,World History,Pretest,1,100,88,2025-09-17,2025-09-17,42,99,1,73,56,74,3,5,5,5,8,2.6,3.95
STU0037,2025,4,Spring,Spring,Science,Core,Earth Science,Assignment,2,50,78,2025-09-19,2025-09-19,94,78,8,72,86,74,3,5,5,5,8,2.6,3.95
STU0037,2025,4,Spring,Spring,History,Elective,World History,Test,3,100,48,2025-09-21,2025-09-21,76,88,3,65,93,74,3,5,5,5,8,2.6,3.95
STU0038,2023,4,Fall,Fall,Writing,Core,Creative Writing,Pretest,1,100,43,2025-09-17,2025-09-17,72,91,4,79,51,96,4,4,5,2,7,3.56,4.06
STU0038,2023,4,Fall,Fall,History,Elective,World History,Assignment,2,50,84,2025-09-19,2025-09-19,57,74,7,66,58,96,4,4,5,2,7,3.56,4.06
STU0038,2023,4,Fall,Fall,Writing,Core,Creative Writing,Test,3,100,42,2025-09-21,2025-09-21,43,54,10,55,94,96,4,4,5,2,7,3.56,4.06
STU0039,2024,4,Spring,Spring,Science,Core,Earth Science,Pretest,1,100,81,2025-09-17,2025-09-17,49,63,9,66,92,77,1,4,9,1,2,2.53,3.6
STU0039,2024,4,Spring,Spring,Math,Core,Algebra I,Assignment,2,50,82,2025-09-19,2025-09-19,91,74,7,85,49,77,1,4,9,1,2,2.53,3.6
STU0039,2024,4,Spring,Spring,Science,Core,Earth Science,Test,3,100,50,2025-09-21,2025-09-21,51,68,9,58,47,77,1,4,9,1,2,2.53,3.6
STU0040,2025,5,Spring,Spring,History,Elective,World History,Pretest,1,100,58,2025-09-17,2025-09-17,80,93,10,93,46,74,1,4,7,5,10,3.16,3.3
STU0040,2025,5,Spring,Spring,Reading,Core,English Lit,Assignment,2,50,52,2025-09-19,2025-09-19,92,70,4,63,94,74,1,4,7,5,10,3.16,3.3
STU0040,2025,5,Spring,Spring,History,Elective,World History,Test,3,100,57,2025-09-21,2025-09-21,76,95,2,98,74,74,1,4,7,5,10,3.16,3.3
STU0041,2024,5,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,53,2025-09-17,2025-09-17,63,86,9,54,76,89,6,3,7,4,5,3.03,3.17
STU0041,2024,5,Fall,Fall,Reading,Core,English Lit,Assignment,2,50,93,2025-09-19,2025-09-19,79,59,6,87,75,89,6,3,7,4,5,3.03,3.17
STU0041,2024,5,Fall,Fall,Reading,Core,English Lit,Test,3,100,54,2025-09-21,2025-09-21,72,74,1,92,56,89,6,3,7,4,5,3.03,3.17
STU0042,2025,4,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,77,2025-09-17,2025-09-17,87,76,5,41,71,78,2,5,9,4,9,2.77,4.39
STU0042,2025,4,Fall,Fall,Writing,Core,Creative Writing,Assignment,2,50,44,2025-09-19,2025-09-19,41,61,10,74,76,78,2,5,9,4,9,2.77,4.39
STU0042,2025,4,Fall,Fall,Reading,Core,English Lit,Test,3,100,76,2025-09-21,2025-09-21,40,96,9,68,73,78,2,5,9,4,9,2.77,4.39
STU0043,2024,6,Fall,Fall,Math,Core,Algebra I,Pretest,1,100,86,2025-09-17,2025-09-17,41,51,4,64,97,93,5,4,9,2,3,3.41,4.26
STU0043,2024,6,Fall,Fall,Science,Core,Earth Science,Assignment,2,50,50,2025-09-19,2025-09-19,46,75,1,40,75,93,5,4,9,2,3,3.41,4.26
STU0043,2024,6,Fall,Fall,Reading,Core,English Lit,Test,3,100,91,2025-09-21,2025-09-21,80,78,6,97,75,93,5,4,9,2,3,3.41,4.26
STU0044,2023,4,Fall,Fall,Writing,Core,Creative Writing,Pretest,1,100,42,2025-09-17,2025-09-17,67,61,1,66,69,91,3,4,8,0,10,3.0,3.89
STU0044,2023,4,Fall,Fall,Reading,Core,English Lit,Assignment,2,50,66,2025-09-19,2025-09-19,88,65,3,98,48,91,3,4,8,0,10,3.0,3.89
STU0044,2023,4,Fall,Fall,Math,Core,Algebra I,Test,3,100,66,2025-09-21,2025-09-21,71,70,6,61,80,91,3,4,8,0,10,3.0,3.89
STU0045,2025,4,Spring,Spring,History,Elective,World History,Pretest,1,100,42,2025-09-17,2025-09-17,70,69,1,67,96,78,7,4,6,0,10,2.5,4.31
STU0045,2025,4,Spring,Spring,Math,Core,Algebra I,Assignment,2,50,90,2025-09-19,2025-09-19,59,71,9,65,74,78,7,4,6,0,10,2.5,4.31
STU0045,2025,4,Spring,Spring,Science,Core,Earth Science,Test,3,100,53,2025-09-21,2025-09-21,72,53,2,82,51,78,7,4,6,0,10,2.5,4.31
STU0046,2023,5,Spring,Spring,Reading,Core,English Lit,Pretest,1,100,58,2025-09-17,2025-09-17,41,57,9,53,56,78,2,1,6,4,8,2.55,4.44
STU0046,2023,5,Spring,Spring,Math,Core,Algebra I,Assignment,2,50,89,2025-09-19,2025-09-19,41,62,6,91,49,78,2,1,6,4,8,2.55,4.44
STU0046,2023,5,Spring,Spring,Math,Core,Algebra I,Test,3,100,49,2025-09-21,2025-09-21,88,79,9,52,88,78,2,1,6,4,8,2.55,4.44
STU0047,2025,6,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,63,2025-09-17,2025-09-17,58,81,3,79,58,98,3,4,6,1,7,2.57,4.11
STU0047,2025,6,Fall,Fall,Science,Core,Earth Science,Assignment,2,50,76,2025-09-19,2025-09-19,93,97,8,86,79,98,3,4,6,1,7,2.57,4.11
STU0047,2025,6,Fall,Fall,History,Elective,World History,Test,3,100,80,2025-09-21,2025-09-21,68,79,1,85,68,98,3,4,6,1,7,2.57,4.11
STU0048,2024,5,Fall,Fall,History,Elective,World History,Pretest,1,100,63,2025-09-17,2025-09-17,91,62,2,83,77,96,6,5,9,4,8,3.31,3.94
STU0048,2024,5,Fall,Fall,History,Elective,World History,Assignment,2,50,61,2025-09-19,2025-09-19,73,73,10,64,62,96,6,5,9,4,8,3.31,3.94
STU0048,2024,5,Fall,Fall,Science,Core,Earth Science,Test,3,100,98,2025-09-21,2025-09-21,47,77,2,69,60,96,6,5,9,4,8,3.31,3.94
STU0049,2023,5,Fall,Fall,Math,Core,Algebra I,Pretest,1,100,65,2025-09-17,2025-09-17,70,81,5,84,63,84,5,1,5,4,5,3.59,4.11
STU0049,2023,5,Fall,Fall,Writing,Core,Creative Writing,Assignment,2,50,97,2025-09-19,2025-09-19,44,78,2,69,78,84,5,1,5,4,5,3.59,4.11
STU0049,2023,5,Fall,Fall,History,Elective,World History,Test,3,100,69,2025-09-21,2025-09-21,84,56,7,52,62,84,5,1,5,4,5,3.59,4.11
STU0050,2024,6,Fall,Fall,Writing,Core,Creative Writing,Pretest,1,100,76,2025-09-17,2025-09-17,43,80,1,71,60,99,4,1,8,4,1,3.99,4.49
STU0050,2024,6,Fall,Fall,Writing,Core,Creative Writing,Assignment,2,50,77,2025-09-19,2025-09-19,45,67,5,55,48,99,4,1,8,4,1,3.99,4.49
STU0050,2024,6,Fall,Fall,Writing,Core,Creative Writing,Test,3,100,70,2025-09-21,2025-09-21,41,99,5,90,88,99,4,1,8,4,1,3.99,4.49
STU0051,2024,4,Spring,Spring,Science,Core,Earth Science,Pretest,1,100,59,2025-09-17,2025-09-17,63,50,8,40,97,93,3,5,6,5,10,3.91,3.05
STU0051,2024,4,Spring,Spring,Math,Core,Algebra I,Assignment,2,50,82,2025-09-19,2025-09-19,51,80,5,85,74,93,3,5,6,5,10,3.91,3.05
STU0051,2024,4,Spring,Spring,Reading,Core,English Lit,Test,3,100,44,2025-09-21,2025-09-21,59,89,9,58,91,93,3,5,6,5,10,3.91,3.05
STU0052,2025,4,Fall,Fall,Reading,Core,English Lit,Pretest,1,100,67,2025-09-17,2025-09-17,47,56,1,94,48,87,2,5,7,3,1,3.46,3.24
STU0052,2025,4,Fall,Fall,Writing,Core,Creative Writing,Assignment,2,50,91,2025-09-19,2025-09-19,78,65,3,54,98,87,2,5,7,3,1,3.46,3.24
STU0052,2025,4,Fall,Fall,Science,Core,Earth Science,Test,3,100,89,2025-09-21,2025-09-21,52,96,6,94,69,87,2,5,7,3,1,3.46,3.24
STU0053,2024,5,Fall,Fall,Math,Core,Algebra I,Pretest,1,100,91,2025-09-17,2025-09-17,52,79,6,72,75,78,7,4,9,5,10,3.45,3.27
STU0053,2024,5,Fall,Fall,Reading,Core,English Lit,Assignment,2,50,59,2025-09-19,2025-09-19,92,93,7,43,43,78,7,4,9,5,10,3.45,3.27
STU0053,2024,5,Fall,Fall,Science,Core,Earth Science,Test,3,100,55,2025-09-21,2025-09-21,88,59,5,83,51,78,7,4,9,5,10,3.45,3.27
STU0054,2025,6,Spring,Spring,Science,Core,Earth Science,Pretest,1,100,70,2025-09-17,2025-09-17,73,66,2,45,88,71,6,1,8,0,1,3.02,3.3
STU0054,2025,6,Spring,Spring,Reading,Core,English Lit,Assignment,2,50,75,2025-09-19,2025-09-19,73,68,7,93,73,71,6,1,8,0,1,3.02,3.3
